Rank,Name,Weight Class,Record,Age,Location,Wins,Losses,Draws,Total Fights,Win Percentage,Region,Country,LAT,LON
160,Zaur Abdullaev,light,16 1 0,28.0,"Ekaterinburg, Russia",16,1,0,17,94.1,Ekaterinburg, Russia,65.01285371288944,98.25634600527192
161,Arslanbek Makhmudov,heavy,16 0 0,33.0,"Montreal, Quebec, Canada",16,0,0,16,100.0,"Montreal, Quebec", Canada,60.51403462343278,-106.65790074455309
162,Liam Wilson,super feather,11 1 0,26.0,"Caboolture, Queensland, Australia",11,1,0,12,91.7,"Caboolture, Queensland", Australia,-25.61945086973472,135.4399869086455
163,Ra'eese Aleem,super bantam,20 0 0,32.0,"Las Vegas, Nevada, USA",20,0,0,20,100.0,"Las Vegas, Nevada", USA,39.52524391801884,-100.5360041080207
164,Andre Dirrell,light heavy,29 3 0,39.0,"Lake Worth, Florida, USA",29,3,0,32,90.6,"Lake Worth, Florida", USA,40.0843749250618,-100.37370504462342
165,Filip Hrgovic,heavy,15 0 0,30.0,"Zagreb, Croatia",15,0,0,15,100.0,Zagreb, Croatia,44.52468378813121,16.704879891032963
166,Michel Rivera,light,24 0 0,24.0,"Miami, Florida, USA",24,0,0,24,100.0,"Miami, Florida", USA,39.510822635427076,-101.08077095937826
167,Kenichi Ogawa,super feather,26 2 1,34.0,"Tokyo, Japan",26,2,1,29,89.7,Tokyo, Japan,36.913067325169244,139.4987278569797
168,Sho Ishida,bantam,32 3 0,31.0,"Osaka, Osaka, Japan",32,3,0,35,91.4,"Osaka, Osaka", Japan,36.8646967818489,138.79322128930687
169,Andy Hiraoka,super light,22 0 0,26.0,"Yokohama, Kanagawa, Japan",22,0,0,22,100.0,"Yokohama, Kanagawa", Japan,35.860675759234105,139.77995622247553
170,Felix Cash,middle,16 0 0,29.0,"Wokingham, Berkshire, United Kingdom",16,0,0,16,100.0,"Wokingham, Berkshire", United Kingdom,54.72699902826134,-1.8377877230786517
171,Kid Galahad,light,28 3 0,32.0,"Sheffield, Yorkshire, United Kingdom",28,3,0,31,90.3,"Sheffield, Yorkshire", United Kingdom,54.13813334539755,-3.3334924015178906
172,Mathieu Bauderlique,light heavy,21 2 0,33.0,"Henin-Beaumont, Pas-de-Calais, France",21,2,0,23,91.3,"Henin-Beaumont, Pas-de-Calais", France,46.28282563109783,1.8105904781538116
173,Brandun Lee,super light,26 0 0,23.0,"La Quinta, California, USA",26,0,0,26,100.0,"La Quinta, California", USA,40.125676067353275,-100.5807706608517
174,Wisaksil Wangek,super fly,50 6 1,36.0,"Si Sa Ket, Thailand",50,6,1,57,87.7,Si Sa Ket, Thailand,15.375078364574295,101.2174162699114
175,James Dickens,feather,32 4 0,31.0,"Liverpool, Merseyside, United Kingdom",32,4,0,36,88.9,"Liverpool, Merseyside", United Kingdom,55.016858766432925,-2.676574808485407
176,Ali Eren Demirezen,heavy,17 1 0,32.0,"Hamburg, Hamburg, Germany",17,1,0,18,94.4,"Hamburg, Hamburg", Germany,50.43500240683878,10.653527477516844
177,Michael McKinson,welter,23 1 0,28.0,"Portsmouth, Hampshire, United Kingdom",23,1,0,24,95.8,"Portsmouth, Hampshire", United Kingdom,54.50522358728387,-3.87429582021383
178,Felix Alvarado,fly,38 3 0,33.0,"Managua, Nicaragua",38,3,0,41,92.7,Managua, Nicaragua,12.860665896921116,-85.04818572006364
179,Krzysztof Glowacki,cruiser,32 3 0,36.0,"Walcz, Poland",32,3,0,35,91.4,Walcz, Poland,52.2698425847008,19.65628446094794
180,Charles Conwell,super welter,18 0 0,25.0,"Cleveland, Ohio, USA",18,0,0,18,100.0,"Cleveland, Ohio", USA,40.269287491569855,-100.16906232386783
181,Ryosuke Iwasa,super light,28 4 0,32.0,"Kashiwa, Chiba, Japan",28,4,0,32,87.5,"Kashiwa, Chiba", Japan,37.25730190175581,138.23337972361344
182,Hinata Maruta,feather,12 2 1,25.0,"Kawanishi, Hyogo, Japan",12,2,1,15,80.0,"Kawanishi, Hyogo", Japan,37.07460110799547,138.8463281980689
183,Masayoshi Nakatani,light,20 3 0,33.0,"Tokyo, Japan",20,3,0,23,87.0,Tokyo, Japan,36.21718082802354,139.47799342830876
184,Custio Clayton,welter,19 1 1,35.0,"Ottawa, Ontario, Canada",19,1,1,21,90.5,"Ottawa, Ontario", Canada,61.50642692010517,-108.45126636347459
185,Abel Ramos,welter,27 5 2,31.0,"Casa Grande, Arizona, USA",27,5,2,34,79.4,"Casa Grande, Arizona", USA,39.59093604115428,-101.32738533803294
186,Jezzrel Corrales,light,26 4 0,31.0,"San Miguelito, Panama",26,4,0,30,86.7,San Miguelito, Panama,8.820525111007234,-81.84256023551623
187,Michael Conlan,feather,18 1 0,31.0,"Belfast, Northern Ireland, United Kingdom",18,1,0,19,94.7,"Belfast, Northern Ireland", United Kingdom,54.74505550885287,-3.6045803090918263
188,Lindolfo Delgado,super light,16 0 0,27.0,"Monterrey, Nuevo León, Mexico",16,0,0,16,100.0,"Monterrey, Nuevo León", Mexico,23.489758250558715,-102.0078651533251
189,Azizbek Abdugofurov,super middle,14 1 0,30.0,"Andijan, Uzbekistan",14,1,0,15,93.3,Andijan, Uzbekistan,41.98596671321514,63.31108785182723
190,Mateusz Masternak,cruiser,47 5 0,35.0,"Wroclaw, Poland",47,5,0,52,90.4,Wroclaw, Poland,52.946796668668966,18.877514334697796
191,Robson Conceicao,super feather,17 2 0,34.0,"Salvador, Bahia, Brazil",17,2,0,19,89.5,"Salvador, Bahia", Brazil,-10.234855720397324,-53.35136645208854
192,Michael Magnesi,super feather,21 1 0,28.0,"Cave, Lazio, Italy",21,1,0,22,95.5,"Cave, Lazio", Italy,42.706730554297636,12.575367261860517
193,Takuma Inoue,super bantam,17 1 0,26.0,"Yokohama, Kanagawa, Japan",17,1,0,18,94.4,"Yokohama, Kanagawa", Japan,37.14152051557967,138.92379263680365
194,David Papot,super welter,27 0 1,31.0,"Saint-Nazaire, Loire-Atlantique, France",27,0,1,28,96.4,"Saint-Nazaire, Loire-Atlantique", France,47.60376433727961,2.2479430889941443
195,Toshiki Shimomachi,feather,16 1 2,26.0,"Osaka, Osaka, Japan",16,1,2,19,84.2,"Osaka, Osaka", Japan,36.70201798013975,139.43896408815723
196,Danielito Zorrilla,super light,16 1 0,29.0,"Toa Baja, Puerto Rico",16,1,0,17,94.1,Toa Baja, Puerto Rico,18.951808548765403,-66.78721160544804
197,Henry Lebron,super feather,17 0 0,25.0,"Aguadilla, Puerto Rico",17,0,0,17,100.0,Aguadilla, Puerto Rico,18.81354909836457,-66.5533577858144
198,Cesar Francis,super light,12 0 0,32.0,"Brooklyn, New York, USA",12,0,0,12,100.0,"Brooklyn, New York", USA,39.832101179687236,-99.97685349333568
199,Rolando Romero,light,14 1 0,27.0,"Las Vegas, Nevada, USA",14,1,0,15,93.3,"Las Vegas, Nevada", USA,40.299634711808416,-100.5972978495529
200,Luke Santamaria,super welter,13 3 1,25.0,"Garden Grove, California, USA",13,3,1,17,76.5,"Garden Grove, California", USA,40.239849892329424,-100.66840293229177
201,Lamont Roach,super feather,23 1 1,27.0,"Upper Marlboro, Maryland, USA",23,1,1,25,92.0,"Upper Marlboro, Maryland", USA,39.17558802245549,-100.06359467381083
202,Blair Cobbs,welter,16 1 1,32.0,"Las Vegas, Nevada, USA",16,1,1,18,88.9,"Las Vegas, Nevada", USA,40.25716996523075,-100.8488362239235
203,Moussa Gholam,super feather,19 1 0,27.0,"L'Hospitalet de Llobregat, Cataluña, Spain",19,1,0,20,95.0,"L'Hospitalet de Llobregat, Cataluña", Spain,39.82265699583671,-4.749533150270725
204,Montana Love,super light,18 1 1,27.0,"Cleveland, Ohio, USA",18,1,1,20,90.0,"Cleveland, Ohio", USA,39.77434661459001,-100.82785669717286
205,Chris Billam-Smith,cruiser,16 1 0,32.0,"Bournemouth, Dorset, United Kingdom",16,1,0,17,94.1,"Bournemouth, Dorset", United Kingdom,54.59997934126498,-3.3049435195988335
206,Robert Helenius,heavy,31 4 0,38.0,"Mariehamn, Finland",31,4,0,35,88.6,Mariehamn, Finland,62.95965250629911,26.533786606048796
207,Osleys Iglesias,super middle,8 0 0,,"Berlin, Berlin, Germany",8,0,0,8,100.0,"Berlin, Berlin", Germany,50.22458530245222,10.342779133185788
208,Chris Kongo,welter,14 1 0,29.0,"Bermondsey, London, United Kingdom",14,1,0,15,93.3,"Bermondsey, London", United Kingdom,54.882048327785675,-3.2097129660491914
209,Albert Batyrgaziev,light,7 0 0,24.0,"Nizhnevartovsk, Russia",7,0,0,7,100.0,Nizhnevartovsk, Russia,65.38092444951788,97.30065764000575
210,Viktor Postol,super light,31 4 0,38.0,"Marina del Rey, California, USA",31,4,0,35,88.6,"Marina del Rey, California", USA,39.82767507994007,-99.83207060193969
211,Vladimir Shishkin,super middle,13 0 0,31.0,"Detroit, Michigan, USA",13,0,0,13,100.0,"Detroit, Michigan", USA,40.498812194087634,-99.96702692590779
212,Ryota Murata,middle,16 3 0,36.0,"Tokyo, Japan",16,3,0,19,84.2,Tokyo, Japan,37.546579412962245,139.13607840556193
213,Seigo Yuri Akui,fly,17 2 1,27.0,"Kurashiki, Okayama, Japan",17,2,1,20,85.0,"Kurashiki, Okayama", Japan,37.148993676074355,139.88924849838847
214,Terrell Gausha,super welter,22 3 1,35.0,"Encino, California, USA",22,3,1,26,84.6,"Encino, California", USA,39.276120909282305,-100.33669752574632
215,William Scull,super middle,20 0 0,30.0,"Trelew, Chubut, Argentina",20,0,0,20,100.0,"Trelew, Chubut", Argentina,-35.572598376549315,-64.70717867933492
216,"Angel Ayala 
 Lardizabal",fly,15 0 0,22.0,"México, Mexico",15,0,0,15,100.0,México, Mexico,23.96563257530263,-102.1874545431988
217,"Egidijus 
 Kavaliauskas",welter,23 2 1,34.0,"Camarillo, California, USA",23,2,1,26,88.5,"Camarillo, California", USA,38.91541339892358,-101.15898286144474
218,Erik Bazinyan,super middle,28 0 0,27.0,"Laval, Quebec, Canada",28,0,0,28,100.0,"Laval, Quebec", Canada,60.71891466146723,-107.97897208849541
219,Satoshi Shimizu,feather,11 1 0,36.0,"Yokohama, Kanagawa, Japan",11,1,0,12,91.7,"Yokohama, Kanagawa", Japan,35.90702953709327,138.96662601538256
220,Shu Utsuki,light,12 0 0,28.0,"Tokyo, Japan",12,0,0,12,100.0,Tokyo, Japan,35.76087017088916,139.47560768321495
221,Evgeny Tishchenko,cruiser,11 1 0,31.0,"Ekaterinburg, Russia",11,1,0,12,91.7,Ekaterinburg, Russia,65.0963972925139,98.01269574057538
222,Jack Culcay,super welter,32 4 0,37.0,"Berlin, Berlin, Germany",32,4,0,36,88.9,"Berlin, Berlin", Germany,51.837666658020886,10.584960010125
223,David Light,cruiser,20 0 0,31.0,"North Shore, New Zealand",20,0,0,20,100.0,North Shore, New Zealand,-40.74748688167676,172.9792372441375
224,"Muhammadkhuja 
 Yaqubov",super feather,19 1 0,27.0,"Ekaterinburg, Russia",19,1,0,20,95.0,Ekaterinburg, Russia,64.2722157450616,97.76115150595416
225,Masataka Taniguchi,minimum,16 3 0,28.0,"Tokyo, Japan",16,3,0,19,84.2,Tokyo, Japan,36.2374681328367,139.07412387734692
251,Artem Harutyunyan,light,12 0 0,32.0,"Hamburg, Hamburg, Germany",12,0,0,12,100.0,"Hamburg, Hamburg", Germany,51.00642864304789,10.649003622250326
252,Austin Williams,middle,13 0 0,26.0,"Houston, Texas, USA",13,0,0,13,100.0,"Houston, Texas", USA,38.95094978674205,-100.54973797334878
253,Jessie Vargas,super welter,29 4 2,33.0,"Las Vegas, Nevada, USA",29,4,2,35,82.9,"Las Vegas, Nevada", USA,39.71619688573472,-100.31669931113672
254,Albert Ramirez,light heavy,14 0 0,30.0,"El Vigia, Venezuela",14,0,0,14,100.0,El Vigia, Venezuela,8.272115999183441,-65.75167664927277
255,Fabio Wardley,heavy,15 0 0,27.0,"Ipswich, Suffolk, United Kingdom",15,0,0,15,100.0,"Ipswich, Suffolk", United Kingdom,54.44166873185294,-3.9976850788959695
256,Istvan Szili,super middle,26 2 2,39.0,"Basel, Switzerland",26,2,2,30,86.7,Basel, Switzerland,46.61363019244416,8.354847366814745
257,Elvis Rodriguez,super light,13 1 1,26.0,"Los Angeles, California, USA",13,1,1,15,86.7,"Los Angeles, California", USA,40.52087585347914,-100.46086876841706
258,Ryosuke Nishida,bantam,6 0 0,26.0,"Osaka, Osaka, Japan",6,0,0,6,100.0,"Osaka, Osaka", Japan,37.05319860183004,138.6101208382512
259,Jerwin Ancajas,super fly,33 3 2,30.0,"Panabo City, Davao del Norte, Philippines",33,3,2,38,86.8,"Panabo City, Davao del Norte", Philippines,12.849317010008678,122.72057382276694
260,"Noel Gevor 
 Mikaelyan",cruiser,26 2 0,32.0,"Hamburg, Hamburg, Germany",26,2,0,28,92.9,"Hamburg, Hamburg", Germany,51.58890402915426,10.45101341813019
261,Angel Fierro,light,20 1 2,24.0,"San Diego, California, USA",20,1,2,23,87.0,"San Diego, California", USA,39.71928112631745,-100.73089758187912
262,Donnie Nietes,super fly,43 2 6,40.0,"Bacolod City, Negros Occidental, Philippines",43,2,6,51,84.3,"Bacolod City, Negros Occidental", Philippines,12.002191773108622,122.72266198777386
263,Padraig McCrory,light heavy,16 0 0,34.0,"Belfast, Northern Ireland, United Kingdom",16,0,0,16,100.0,"Belfast, Northern Ireland", United Kingdom,54.192047270095465,-3.1460090399350986
264,Roiman Villa,welter,25 1 0,29.0,"Rosario, Venezuela",25,1,0,26,96.2,Rosario, Venezuela,8.204481180145363,-65.8828598787378
265,"Agustin Ezequiel 
 Quintana",light,18 1 1,26.0,"San Francisco Solano, Buenos Aires, Argentina",18,1,1,20,90.0,"San Francisco Solano, Buenos Aires", Argentina,-34.38614504313153,-64.9687806596855
266,Edwin De Los Santos,light,15 1 0,23.0,"Santo Domingo, Dominican Republic",15,1,0,16,93.8,Santo Domingo, Dominican Republic,19.756535764619684,-69.56944099421678
267,Ronny Rios,super bantam,33 4 0,32.0,"Santa Ana, California, USA",33,4,0,37,89.2,"Santa Ana, California", USA,40.33653865870859,-100.72639473878343
268,Azinga Fuzile,light,16 2 0,26.0,"East London, Eastern Cape, South Africa",16,2,0,18,88.9,"East London, Eastern Cape", South Africa,-28.570738574575962,25.307390409234706
269,Murad Aliev,super feather,5 0 1,27.0,"Sochi, Russia",5,0,1,6,83.3,Sochi, Russia,65.32241910482911,97.63150828821418
270,Michal Cieslak,cruiser,23 2 0,33.0,"Radom, Poland",23,2,0,25,92.0,Radom, Poland,52.253855519640304,18.47302136522798
271,Ricardo Nunez,light,23 4 0,29.0,"La Chorrera, Panama",23,4,0,27,85.2,La Chorrera, Panama,8.291311011113804,-81.34367306481849
272,Hiroto Kyoguchi,light fly,16 1 0,29.0,"Tokyo, Japan",16,1,0,17,94.1,Tokyo, Japan,36.425672537819686,139.01347148258114
273,Paul Butler,bantam,34 3 0,34.0,"Ellesmere Port, Cheshire, United Kingdom",34,3,0,37,91.9,"Ellesmere Port, Cheshire", United Kingdom,54.86444370222449,-3.8175008652178897
274,Vincent Astrolabio,bantam,17 3 0,25.0,"Las Vegas, Nevada, USA",17,3,0,20,85.0,"Las Vegas, Nevada", USA,40.119012887450026,-99.69996616342229
275,Robbie Davies Jr,super light,23 3 0,33.0,"Kirkby, Merseyside, United Kingdom",23,3,0,26,88.5,"Kirkby, Merseyside", United Kingdom,54.6965314290747,-3.273916009494037
249,Hironori Mishiro,light,12 0 1,28.0,"Tokyo, Japan",12,0,1,13,92.3,Tokyo, Japan,36.90627308200196,139.7318690325684
276,Craig Richards,light heavy,17 3 1,32.0,"Crystal Palace, London, United Kingdom",17,3,1,21,81.0,"Crystal Palace, London", United Kingdom,55.45100467288489,-2.9364944507076958
277,Angel Rodriguez,super feather,20 2 0,35.0,"Barranquilla, Colombia",20,2,0,22,90.9,Barranquilla, Colombia,3.658440423875974,-72.31292322792424
278,Ivan Golub,welter,21 1 0,33.0,"Brooklyn, New York, USA",21,1,0,22,95.5,"Brooklyn, New York", USA,40.0716178594916,-100.72559922914371
279,Eduardo Ramirez,light,11 1 0,29.0,"Los Mochis, Sinaloa, Mexico",11,1,0,12,91.7,"Los Mochis, Sinaloa", Mexico,23.42952711995383,-102.92659892904435
280,"Gary Antonio 
 Russell",bantam,19 1 0,29.0,"Washington, District of Columbia, USA",19,1,0,20,95.0,"Washington, District of Columbia", USA,39.04801113827005,-100.70956615555752
281,Khariton Agrba,super light,10 0 0,27.0,"Volgodonsk, Russia",10,0,0,10,100.0,Volgodonsk, Russia,65.49834838670132,97.90441800594232
282,Mark Heffron,super middle,29 2 1,31.0,"Oldham, Lancashire, United Kingdom",29,2,1,32,90.6,"Oldham, Lancashire", United Kingdom,54.61319564736602,-2.4572984064771597
283,Daniel Matellon,light fly,13 0 2,34.0,"Panama City, Panama",13,0,2,15,86.7,Panama City, Panama,7.8929057124363045,-81.03759512606335
284,Denzel Bentley,middle,17 2 1,27.0,"Wandsworth, London, United Kingdom",17,2,1,20,85.0,"Wandsworth, London", United Kingdom,53.954052072338754,-2.9871217678762814
285,Mark Urvanov,super feather,22 3 1,26.0,"Pervouralsk, Russia",22,3,1,26,84.6,Pervouralsk, Russia,64.6831815141871,97.72238848173983
286,Shane Mosley Jr,super middle,18 4 0,31.0,"Las Vegas, Nevada, USA",18,4,0,22,81.8,"Las Vegas, Nevada", USA,39.736023289500494,-100.41227607354502
287,James Metcalf,super welter,24 2 0,34.0,"Liverpool, Merseyside, United Kingdom",24,2,0,26,92.3,"Liverpool, Merseyside", United Kingdom,54.073604684025604,-3.3070421740078637
288,Mario Barrios,super light,26 2 0,27.0,"San Antonio, Texas, USA",26,2,0,28,92.9,"San Antonio, Texas", USA,40.03961290825475,-100.74256897401925
289,Kerman Lejarraga,super welter,34 3 0,30.0,"Bilbao, País Vasco, Spain",34,3,0,37,91.9,"Bilbao, País Vasco", Spain,39.573794290813375,-4.319178003552501
290,Leo Santa Cruz,feather,38 2 1,34.0,"Rosemead, California, USA",38,2,1,41,92.7,"Rosemead, California", USA,39.61760248003602,-101.25287668477773
291,Ahmed El Mousaoui,super welter,34 4 1,32.0,"Aulnay-sous-Bois, Seine-Saint-Denis, France",34,4,1,39,87.2,"Aulnay-sous-Bois, Seine-Saint-Denis", France,47.21852318359497,1.7796602615341475
292,Troy Williamson,super welter,19 1 1,31.0,"Darlington, County Durham, United Kingdom",19,1,1,21,90.5,"Darlington, County Durham", United Kingdom,54.63223717035979,-3.925831516393483
293,Ismael Barroso,super light,24 3 2,39.0,"Miami, Florida, USA",24,3,2,29,82.8,"Miami, Florida", USA,39.85018130462973,-99.90353932643127
294,Fanlong Meng,light heavy,17 1 0,34.0,"Chifeng, China",17,1,0,18,94.4,Chifeng, China,34.529936672491715,104.64890170044241
295,Liam Davies,super bantam,13 0 0,26.0,"Donnington, Telford, Shropshire, United Kingdom",13,0,0,13,100.0,"Donnington, Telford, Shropshire", United Kingdom,54.33530488770266,-3.8012236907640213
296,Fedor Chudinov,super middle,26 3 1,35.0,"Serpukhov, Russia",26,3,1,30,86.7,Serpukhov, Russia,65.22249170000671,97.62541769927763
297,Ryan Rozicki,cruiser,16 1 0,27.0,"Sydney, Nova Scotia, Canada",16,1,0,17,94.1,"Sydney, Nova Scotia", Canada,61.2946384680454,-108.15960570817602
298,Liam Williams,middle,24 4 1,30.0,"Clydach Vale, Wales, United Kingdom",24,4,1,29,82.8,"Clydach Vale, Wales", United Kingdom,54.41755669810374,-4.11185350814722
299,Zolani Tete,super bantam,30 4 0,34.0,"Mdantsane, Eastern Cape, South Africa",30,4,0,34,88.2,"Mdantsane, Eastern Cape", South Africa,-28.144428516363984,25.031344761323933
300,Taku Kuwahara,fly,11 1 0,27.0,"Yokohama, Kanagawa, Japan",11,1,0,12,91.7,"Yokohama, Kanagawa", Japan,36.44521659865707,138.8124097386516
301,Malik Hawkins,super light,18 2 0,26.0,"Baltimore, Maryland, USA",18,2,0,20,90.0,"Baltimore, Maryland", USA,39.500273336513864,-101.2310458358791
302,Billy Dib,light,48 6 0,37.0,"Sydney, New South Wales, Australia",48,6,0,54,88.9,"Sydney, New South Wales", Australia,-24.99395543822657,135.190079134435
303,Souleymane Cissokho,welter,15 0 0,31.0,"Bagnolet, Seine-Saint-Denis, France",15,0,0,15,100.0,"Bagnolet, Seine-Saint-Denis", France,46.118769345024525,2.203063869571176
304,Gabriel Rosado,super middle,26 16 1,36.0,"Los Angeles, California, USA",26,16,1,43,60.5,"Los Angeles, California", USA,39.92654479958544,-100.7399357737273
305,Eduardo Baez,feather,21 4 2,27.0,"Calexico, California, USA",21,4,2,27,77.8,"Calexico, California", USA,39.39197013014139,-100.24002333248512
306,Jose Uzcategui,super middle,32 4 0,31.0,"Las Vegas, Nevada, USA",32,4,0,36,88.9,"Las Vegas, Nevada", USA,40.0490339917472,-99.91172443155077
307,Xavier Martinez,super feather,18 1 0,25.0,"Sacramento, California, USA",18,1,0,19,94.7,"Sacramento, California", USA,40.05602291027383,-99.64209635814915
308,Frank Martin,light,16 0 0,27.0,"Indianapolis, Indiana, USA",16,0,0,16,100.0,"Indianapolis, Indiana", USA,40.579040805479295,-100.20466425540413
309,"Guillermo 
 Rigondeaux",bantam,20 3 0,42.0,"Miami, Florida, USA",20,3,0,23,87.0,"Miami, Florida", USA,39.336566943792356,-101.05044959908966
310,Giovani Santillan,welter,30 0 0,31.0,"San Diego, California, USA",30,0,0,30,100.0,"San Diego, California", USA,40.364770922134234,-100.50501881031175
311,Aslambek Idigov,super middle,22 0 0,27.0,"Las Vegas, Nevada, USA",22,0,0,22,100.0,"Las Vegas, Nevada", USA,40.0220191417942,-99.87914125399278
312,Aram Faniian,super light,23 1 0,25.0,"Brovari, Ukraine",23,1,0,24,95.8,Brovari, Ukraine,50.01117803246302,32.0493975299957
313,Hekkie Budler,light fly,34 4 0,34.0,"Johannesburg, Gauteng, South Africa",34,4,0,38,89.5,"Johannesburg, Gauteng", South Africa,-28.17849798490569,24.989803847115923
314,Kevin Lele Sadjo,super middle,19 0 0,32.0,"Saint-Maur, Val-de-Marne, France",19,0,0,19,100.0,"Saint-Maur, Val-de-Marne", France,47.29123050809093,1.3851305728256325
315,Liam Paro,super light,23 0 0,26.0,"Brisbane, Queensland, Australia",23,0,0,23,100.0,"Brisbane, Queensland", Australia,-24.106656387927437,134.18031951331503
316,Francesco Patera,light,27 3 0,29.0,"Genk, Limburg, Belgium",27,3,0,30,90.0,"Genk, Limburg", Belgium,50.991372626480036,4.042088381308683
317,Javier Molina,super light,22 5 0,32.0,"Norwalk, California, USA",22,5,0,27,81.5,"Norwalk, California", USA,39.8896861651949,-100.37702691557371
318,Hamzah Sheeraz,middle,17 0 0,23.0,"Ilford, London, United Kingdom",17,0,0,17,100.0,"Ilford, London", United Kingdom,55.23017594822439,-3.6747069219928132
319,Ali Izmailov,light heavy,9 0 0,29.0,"Detroit, Michigan, USA",9,0,0,9,100.0,"Detroit, Michigan", USA,39.79177180730265,-100.07871033758856
320,Ramiro Cesena,super feather,16 0 1,23.0,"Loreto, Baja California Sur, Mexico",16,0,1,17,94.1,"Loreto, Baja California Sur", Mexico,23.91730885311266,-101.20855077248069
321,Mathieu Germain,super light,21 2 1,33.0,"Mascouche, Quebec, Canada",21,2,1,24,87.5,"Mascouche, Quebec", Canada,61.22735915139844,-108.12289112831778
322,"Yauheni 
 Dauhaliavets",super light,8 0 0,31.0,"Soligorsk, Belarus",8,0,0,8,100.0,Soligorsk, Belarus,53.07664633568483,27.9892452043322
323,Kieron Conway,middle,18 3 1,26.0,"Northampton, Northamptonshire, United Kingdom",18,3,1,22,81.8,"Northampton, Northamptonshire", United Kingdom,54.47843095836731,-3.2280276084568227
324,Bekman Soylybayev,super feather,15 1 0,32.0,"Almaty, Kazakhstan",15,1,0,16,93.8,Almaty, Kazakhstan,48.00718022925879,66.17621703257686
325,Lyndon Arthur,light heavy,21 1 0,31.0,"Manchester, Lancashire, United Kingdom",21,1,0,22,95.5,"Manchester, Lancashire", United Kingdom,54.78303707843586,-3.298974518524448
326,Azat Hovhannisyan,super bantam,21 3 0,34.0,"Los Angeles, California, USA",21,3,0,24,87.5,"Los Angeles, California", USA,39.52282890224435,-100.21945927676074
327,Maurice Hooker,welter,27 3 3,33.0,"Dallas, Texas, USA",27,3,3,33,81.8,"Dallas, Texas", USA,39.48712986255742,-101.01069357973688
328,Brandon Glanton,cruiser,17 1 0,30.0,"Riverside, California, USA",17,1,0,18,94.4,"Riverside, California", USA,40.770677598391686,-100.92293105104586
329,Giovanni De Carolis,super middle,31 10 1,38.0,"Viterbo, Lazio, Italy",31,10,1,42,73.8,"Viterbo, Lazio", Italy,42.537900752624594,12.367358839888762
330,Adam Kownacki,heavy,20 3 0,33.0,"Brooklyn, New York, USA",20,3,0,23,87.0,"Brooklyn, New York", USA,40.251814187647575,-100.62963616033637
331,Dalton Smith,super light,13 0 0,25.0,"Sheffield, Yorkshire, United Kingdom",13,0,0,13,100.0,"Sheffield, Yorkshire", United Kingdom,54.434798986669605,-2.6462659530204595
332,Roger Gutierrez,super feather,26 4 1,27.0,"Maracaibo, Venezuela",26,4,1,31,83.9,Maracaibo, Venezuela,7.883839492576835,-65.40970509653225
333,Dominic Boesel,light heavy,32 3 0,33.0,"Freyburg, Sachsen-Anhalt, Germany",32,3,0,35,91.4,"Freyburg, Sachsen-Anhalt", Germany,51.036496250978395,9.851880002370814
334,Zhora Hamazaryan,light,13 3 2,26.0,"Los Angeles, California, USA",13,3,2,18,72.2,"Los Angeles, California", USA,39.44534930773708,-100.25714618840136
335,Zhan Kossobutskiy,heavy,19 0 0,34.0,"Kostanay, Kazakhstan",19,0,0,19,100.0,Kostanay, Kazakhstan,48.50024754393286,67.26792600754541
336,Eduardo Nunez,super feather,24 1 0,25.0,"Los Mochis, Sinaloa, Mexico",24,1,0,25,96.0,"Los Mochis, Sinaloa", Mexico,23.556130666298387,-102.21768424561182
337,Christopher Diaz,feather,27 4 0,28.0,"Barranquitas, Puerto Rico",27,4,0,31,87.1,Barranquitas, Puerto Rico,17.759549277646386,-65.87292651880678
338,Luis Melendez,super feather,17 2 0,24.0,"Miami, Florida, USA",17,2,0,19,89.5,"Miami, Florida", USA,39.29495627088576,-100.28337569915556
339,Kenneth Sims Jr,super light,18 2 1,28.0,"Chicago, Illinois, USA",18,2,1,21,85.7,"Chicago, Illinois", USA,40.30697879085436,-100.34466277795728
340,Karen Chukhadzhian,welter,21 1 0,26.0,"Karlsruhe, Baden-Württemberg, Germany",21,1,0,22,95.5,"Karlsruhe, Baden-Württemberg", Germany,51.83832034874599,10.0547331935221
341,Richard Rivera,cruiser,22 1 0,32.0,"Hartford, Connecticut, USA",22,1,0,23,95.7,"Hartford, Connecticut", USA,39.672777924285306,-101.50024400787821
342,Bryant Perrella,super welter,17 3 2,33.0,"Fort Myers, Florida, USA",17,3,2,22,77.3,"Fort Myers, Florida", USA,40.89110468727175,-100.97861593774036
343,Dave Apolinario,fly,17 0 0,23.0,"General Santos City, Cotabato del Sur, Philippines",17,0,0,17,100.0,"General Santos City, Cotabato del Sur", Philippines,12.056672776873711,122.67095350127242
344,Giemel Magramo,fly,26 3 0,28.0,"Paranaque City, Metro Manila, Philippines",26,3,0,29,89.7,"Paranaque City, Metro Manila", Philippines,12.250330079960817,123.11970640961167
345,Elwin Soto,light fly,19 3 0,25.0,"Mexicali, Baja California, Mexico",19,3,0,22,86.4,"Mexicali, Baja California", Mexico,24.492256102571158,-101.35275744626523
346,Toka Kahn Clary,super feather,29 3 0,30.0,"Providence, Rhode Island, USA",29,3,0,32,90.6,"Providence, Rhode Island", USA,39.82626785166579,-100.2343887844859
