Rank,Name,Weight Class,Record,Age,Location,Wins,Losses,Draws,Total Fights,Win Percentage,Region,Country,LAT,LON
38,Mairis Briedis,cruiser,28 2 0,37.0,"Riga, Latvia",28,2,0,30,93.3,Riga, Latvia,56.67621580311662,24.638637275745737
39,Brandon Figueroa,feather,23 1 1,25.0,"Weslaco, Texas, USA",23,1,1,25,92.0,"Weslaco, Texas", USA,39.855621191177065,-100.41360699059001
40,Jaron Ennis,welter,29 0 0,25.0,"Philadelphia, Pennsylvania, USA",29,0,0,29,100.0,"Philadelphia, Pennsylvania", USA,39.299017794449256,-101.03386939113149
41,"Brian Carlos 
 Castano",super welter,17 1 2,33.0,"Isidro Casanova, Buenos Aires, Argentina",17,1,2,20,85.0,"Isidro Casanova, Buenos Aires", Argentina,-34.62116287593785,-64.42605236808217
42,Mark Magsayo,feather,24 1 0,27.0,"Valencia, California, USA",24,1,0,25,96.0,"Valencia, California", USA,39.556395863677686,-100.67789020990585
43,Cody Crowley,welter,21 0 0,29.0,"Las Vegas, Nevada, USA",21,0,0,21,100.0,"Las Vegas, Nevada", USA,39.53877729527095,-99.92080173058766
44,Nonito Donaire,bantam,42 7 0,40.0,"Las Vegas, Nevada, USA",42,7,0,49,85.7,"Las Vegas, Nevada", USA,40.997374046563344,-100.11931703333833
45,Magomed Kurbanov,super welter,24 0 0,27.0,"Ekaterinburg, Russia",24,0,0,24,100.0,Ekaterinburg, Russia,64.16521942067573,97.43134724219738
46,Mauricio Lara,feather,25 2 1,24.0,"Mexico City, Distrito Federal, Mexico",25,2,1,28,89.3,"Mexico City, Distrito Federal", Mexico,23.70374525464875,-101.45265668902093
47,Emanuel Navarrete,feather,36 1 0,27.0,"San Juan Zitlaltepec, Distrito Federal, Mexico",36,1,0,37,97.3,"San Juan Zitlaltepec, Distrito Federal", Mexico,23.61291902136002,-101.73439489546257
48,Kazuto Ioka,super fly,29 2 0,33.0,"Tokyo, Japan",29,2,0,31,93.5,Tokyo, Japan,36.452232783227096,138.94250062672126
49,Callum Smith,light heavy,29 1 0,32.0,"Liverpool, Merseyside, United Kingdom",29,1,0,30,96.7,"Liverpool, Merseyside", United Kingdom,54.54090351431433,-4.338389459204958
50,Oscar Valdez,super feather,30 1 0,31.0,"Sonora, Mexico",30,1,0,31,96.8,Sonora, Mexico,23.130044851948227,-103.35573451070998
51,Joe Smith Jr,light heavy,28 4 0,33.0,"Long Island, New York, USA",28,4,0,32,87.5,"Long Island, New York", USA,38.57143273026893,-100.92013525853497
52,Thabiso Mchunu,cruiser,23 6 0,34.0,"Cato Ridge, KwaZulu-Natal, South Africa",23,6,0,29,79.3,"Cato Ridge, KwaZulu-Natal", South Africa,-28.505486962373457,24.63262416407507
53,"William Zepeda 
 Segura",light,27 0 0,26.0,"San Mateo Atenco, México, Mexico",27,0,0,27,100.0,"San Mateo Atenco, México", Mexico,23.6935372521768,-101.9638737811421
54,Jaime Munguia,middle,41 0 0,26.0,"Tijuana, Baja California, Mexico",41,0,0,41,100.0,"Tijuana, Baja California", Mexico,22.87802789239279,-102.20910210746437
55,Roman Gonzalez,super fly,51 4 0,35.0,"Managua, Nicaragua",51,4,0,55,92.7,Managua, Nicaragua,12.346473408639184,-85.01974838020747
56,Gilberto Ramirez,light heavy,44 1 0,31.0,"Mazatlan, Sinaloa, Mexico",44,1,0,45,97.8,"Mazatlan, Sinaloa", Mexico,24.112977518917464,-102.06848592658996
57,Keith Thurman,welter,30 1 0,34.0,"Clearwater, Florida, USA",30,1,0,31,96.8,"Clearwater, Florida", USA,40.24014556808753,-99.9349697813462
58,Kenshiro Teraji,light fly,20 1 0,30.0,"Uji, Kyoto, Japan",20,1,0,21,95.2,"Uji, Kyoto", Japan,36.249734666778245,140.0507085943717
59,David Benavidez,super middle,26 0 0,26.0,"Phoenix, Arizona, USA",26,0,0,26,100.0,"Phoenix, Arizona", USA,39.64571479464442,-101.8106869885593
60,"Gary Allen Russell 
 Jr",feather,31 2 0,34.0,"Capitol Heights, Maryland, USA",31,2,0,33,93.9,"Capitol Heights, Maryland", USA,40.177699604968254,-99.88335750918918
61,Sandor Martin,super light,40 3 0,29.0,"Barcelona, Cataluña, Spain",40,3,0,43,93.0,"Barcelona, Cataluña", Spain,38.90381377201573,-5.752229257899281
62,Daniel Dubois,heavy,19 1 0,25.0,"Greenwich, London, United Kingdom",19,1,0,20,95.0,"Greenwich, London", United Kingdom,53.561803414318,-3.082128750299878
63,Carlos Adames,middle,22 1 0,28.0,"Washington Heights, New York, USA",22,1,0,23,95.7,"Washington Heights, New York", USA,40.02686793471692,-100.25770421252825
64,Liam Smith,super welter,32 3 1,34.0,"Liverpool, Merseyside, United Kingdom",32,3,1,36,88.9,"Liverpool, Merseyside", United Kingdom,55.0525416184953,-4.010935983036578
65,Jack Catterall,super light,26 1 0,29.0,"Chorley, Lancashire, United Kingdom",26,1,0,27,96.3,"Chorley, Lancashire", United Kingdom,54.51720321972951,-3.113438619900363
66,O'Shaquie Foster,super feather,19 2 0,29.0,"Houston, Texas, USA",19,2,0,21,90.5,"Houston, Texas", USA,40.11616914816218,-100.43245797719953
67,Joseph Parker,heavy,30 3 0,30.0,"Morecambe, Lancashire, United Kingdom",30,3,0,33,90.9,"Morecambe, Lancashire", United Kingdom,54.817955622050576,-2.3835259887852995
68,"Gary Antuanne 
 Russell",super light,16 0 0,26.0,"Capitol Heights, Maryland, USA",16,0,0,16,100.0,"Capitol Heights, Maryland", USA,39.401295205799165,-100.32126106402893
69,Tim Tszyu,super welter,21 0 0,28.0,"Rockdale, New South Wales, Australia",21,0,0,21,100.0,"Rockdale, New South Wales", Australia,-24.74374306698023,134.02729349173512
70,Derek Chisora,heavy,33 13 0,38.0,"Finchley, London, United Kingdom",33,13,0,46,71.7,"Finchley, London", United Kingdom,54.347644394237875,-3.5524535201298546
71,Israil Madrimov,super welter,8 0 1,27.0,"Indio, California, USA",8,0,1,9,88.9,"Indio, California", USA,38.87041357523244,-100.65441073116862
72,Jeremia Nakathila,light,23 2 0,33.0,"Windhoek, Namibia",23,2,0,25,92.0,Windhoek, Namibia,-22.89521034702958,18.386600244954128
73,Hector Luis Garcia,super feather,16 0 0,31.0,"San Juan de la Maguana, Dominican Republic",16,0,0,16,100.0,San Juan de la Maguana, Dominican Republic,18.94257276667528,-71.25923263292262
74,"Murodjon 
 Akhmadaliev",super bantam,11 0 0,28.0,"Indio, California, USA",11,0,0,11,100.0,"Indio, California", USA,39.974231698029136,-100.75119214673563
75,"Shavkatdzhon 
 Rakhimov",super feather,17 0 1,28.0,"Los Angeles, California, USA",17,0,1,18,94.4,"Los Angeles, California", USA,39.34789440603369,-100.04908487654963
76,"Dilmurod 
 Satybaldiev",light heavy,13 2 0,28.0,"Bishkek, Kyrgyzstan",13,2,0,15,86.7,Bishkek, Kyrgyzstan,40.414020938440714,74.66637743478063
77,Eimantas Stanionis,welter,14 0 0,28.0,"Kaunas, Lithuania",14,0,0,14,100.0,Kaunas, Lithuania,55.64353397859689,24.008594704889187
78,Kubrat Pulev,heavy,29 3 0,41.0,"Sofia, Bulgaria",29,3,0,32,90.6,Sofia, Bulgaria,42.85565330838169,26.00900488677647
79,Leigh Wood,feather,26 2 0,34.0,"Gedling, Nottinghamshire, United Kingdom",26,2,0,28,92.9,"Gedling, Nottinghamshire", United Kingdom,54.96237890876089,-3.563111914319244
80,David Avanesyan,welter,29 4 1,34.0,"Newark, Nottinghamshire, United Kingdom",29,4,1,34,85.3,"Newark, Nottinghamshire", United Kingdom,54.58606789051421,-2.5997978060666815
81,Sunny Edwards,fly,19 0 0,26.0,"Croydon, London, United Kingdom",19,0,0,19,100.0,"Croydon, London", United Kingdom,55.02817648146446,-2.631441814204116
82,Shuichiro Yoshino,light,16 0 0,31.0,"Tokyo, Japan",16,0,0,16,100.0,Tokyo, Japan,35.02555359130718,139.5372679628345
83,Joe Cordina,super feather,15 0 0,31.0,"Cardiff, Wales, United Kingdom",15,0,0,15,100.0,"Cardiff, Wales", United Kingdom,54.44983947694379,-2.977243306038445
84,Isaac Dogboe,feather,24 2 0,28.0,"Tampa, Florida, USA",24,2,0,26,92.3,"Tampa, Florida", USA,39.221283317984444,-100.33665420609621
85,Isaac Cruz,light,24 2 1,24.0,"Mexico City, Distrito Federal, Mexico",24,2,1,27,88.9,"Mexico City, Distrito Federal", Mexico,23.732677058366864,-102.71913262118835
86,"Gustavo Daniel 
 Lemos",light,28 0 0,26.0,"Tres Arroyos, Buenos Aires, Argentina",28,0,0,28,100.0,"Tres Arroyos, Buenos Aires", Argentina,-35.0836920649785,-65.68850389182404
87,Jesse Rodriguez,super fly,17 0 0,22.0,"San Antonio, Texas, USA",17,0,0,17,100.0,"San Antonio, Texas", USA,40.09258908652541,-100.40691534207218
88,Martin Bakole,heavy,18 1 0,29.0,"Airdrie, Scotland, United Kingdom",18,1,0,19,94.7,"Airdrie, Scotland", United Kingdom,55.038830098224985,-3.863722146513652
89,Luis Alberto Lopez,feather,27 2 0,29.0,"Mexicali, Baja California, Mexico",27,2,0,29,93.1,"Mexicali, Baja California", Mexico,23.731848008855092,-101.6153023006759
90,Arnold Barboza Jr,super light,27 0 0,31.0,"Los Angeles, California, USA",27,0,0,27,100.0,"Los Angeles, California", USA,39.88253143474775,-100.0959447832303
91,Josh Warrington,feather,31 2 1,32.0,"Leeds, Yorkshire, United Kingdom",31,2,1,34,91.2,"Leeds, Yorkshire", United Kingdom,56.115664597605324,-3.1416032350138656
92,John Riel Casimero,bantam,31 4 0,33.0,"Ormoc City, Leyte, Philippines",31,4,0,35,88.6,"Ormoc City, Leyte", Philippines,12.688791169842572,122.30082907367395
93,Frank Sanchez,heavy,21 0 0,30.0,"Miami, Florida, USA",21,0,0,21,100.0,"Miami, Florida", USA,39.6213805969137,-100.6691017105236
94,Conor Benn,welter,21 0 0,26.0,"Ilford, Essex, United Kingdom",21,0,0,21,100.0,"Ilford, Essex", United Kingdom,54.25890127797645,-3.0333677433753254
95,Subriel Matias,super light,18 1 0,30.0,"Fajardo, Puerto Rico",18,1,0,19,94.7,Fajardo, Puerto Rico,17.61058967813212,-66.44649479211662
96,Jamaine Ortiz,light,16 1 1,26.0,"Worcester, Massachusetts, USA",16,1,1,18,88.9,"Worcester, Massachusetts", USA,39.24120939377785,-100.4142904991749
97,Jose Pedraza,super light,29 4 1,33.0,"Cidra, Puerto Rico",29,4,1,34,85.3,Cidra, Puerto Rico,18.485495878726873,-65.95024962876246
98,Richard Commey,super light,30 4 1,35.0,"Bronx, New York, USA",30,4,1,35,85.7,"Bronx, New York", USA,39.65624437715117,-100.85495126963998
99,"Zhanibek 
 Alimkhanuly",middle,13 0 0,29.0,"Oxnard, California, USA",13,0,0,13,100.0,"Oxnard, California", USA,39.74384541132594,-101.36542536580781
100,Steve Spark,super light,16 2 0,26.0,"Toowoomba, Queensland, Australia",16,2,0,18,88.9,"Toowoomba, Queensland", Australia,-25.045996103429722,134.44156257676562
101,Reiya Abe,feather,24 3 1,29.0,"Yamato, Kanagawa, Japan",24,3,1,28,85.7,"Yamato, Kanagawa", Japan,36.660695454744534,138.84582640436744
